的,12
，,11
Python,10
。,7
了,5
包含,4
组件,4
标准库,3
通常,3
所,3
提供,3
模块,3
来,3
系统,3
语言,2
参考,2
描述,2
和,2
库,2
还,2
中,2
可,2
选,2
以,2
编写,2
功能,2
许多,2
平台,2
程序,2
操作,2
具体,1
语法,1
语义,1
这,1
份,1
则,1
介绍,1
与,1
一同,1
发行,1
它,1
在,1
发行版,1
一些,1
非常,1
庞大,1
涉及,1
范围,1
十分,1
广泛,1
正如,1
以下,1
内容,1
目录,1
显示,1
这个,1
多,1
个,1
内置,1
(,1
C,1
),1
程序员,1
必须,1
依靠,1
它们,1
实现,1
级,1
例如,1
文件,1
I/O,1
此外,1
还有,1
大量,1
日常,1
编程,1
问题,1
标准,1
解决,1
方案,1
其中,1
有些,1
经过,1
专门,1
设计,1
通过,1
将,1
特定,1
抽象化,1
为,1
中立,1
API,1
鼓励,1
加强,1
可移植性,1
Windows,1
版本,1
安装,1
整个,1
往往,1
额外,1
对于,1
类,1
Unix,1
会,1
分成,1
一,1
系列,1
软件包,1
因此,1
可能,1
需要,1
使用,1
包,1
管理,1
工具,1
获取,1
部分,1
或,1
全部,1
